NA_L3NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY,year,En_NFire,En_BurnArea
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2028,3.382214285714286,30811.498453510998
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2021,3.2477857142857145,31461.105541251673
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2022,3.2696428571428573,28850.419580810983
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2052,4.187214285714286,40461.28333653044
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2027,3.0742142857142856,27845.30926641528
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2029,3.403857142857143,29332.27433194583
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2040,3.693714285714286,35746.22530602481
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2020,2.701,23888.535239807556
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2056,4.818642857142857,45351.02123999284
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2031,3.5380714285714285,34221.76530233196
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2030,3.419642857142857,32352.752489618048
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2023,2.975,26660.4791066115
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2024,3.892142857142857,38108.36631074424
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2047,3.9017857142857144,38365.599277684756
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2032,3.4097142857142857,31119.70725751727
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2038,3.3827142857142856,31166.81902384556
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2039,3.491285714285714,33102.25047704193
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2043,3.8405714285714287,35445.00387370184
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2057,4.828071428571429,46915.01100622184
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2053,3.701857142857143,31864.44401828869
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2019,2.6880714285714284,24558.294786013554
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2033,3.7664285714285715,37235.69505987704
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2034,3.549714285714286,30843.974027445805
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2058,4.646142857142857,45034.09685517975
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2060,3.8305,34759.69396140302
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2051,3.5653571428571427,31579.69855212172
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2054,3.7114285714285713,34372.9538604319
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2048,3.9352142857142858,36230.22318455263
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2050,4.036071428571429,36458.05891281691
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2042,3.8697857142857144,37783.23039441552
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2059,4.456285714285714,41900.73429766983
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2044,3.431285714285714,30976.103425350248
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2041,4.210214285714286,42115.65132789618
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2026,3.058,26751.009588581222
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2037,3.6820714285714287,35483.372371841586
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2046,3.953,36555.3723294358
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2045,4.630857142857143,47279.50101270646
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2035,3.7190714285714286,32240.97753440174
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2049,4.543071428571428,45786.124114493316
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2025,3.369357142857143,29145.37374157374
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2055,4.457571428571429,44817.40740366183
Arizona/New Mexico Plateau,22,Arizona/New Mexico Plateau,10.1.7,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,22  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2036,3.7992142857142857,36111.71350528896
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2034,4.7003571428571425,35046.96067369107
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2047,5.242,42399.55946507398
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2031,5.474714285714286,45553.54715869399
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2043,4.384714285714286,34603.73611933325
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2030,4.172428571428571,34928.33687440895
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2036,4.692714285714286,36367.60377508628
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2046,5.795857142857143,47165.771269767705
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2033,5.569928571428571,48715.97362716957
